"Column Name","Label"
"GEO_ID","Geography"
"NAME","Label for GEO_ID"
"HCT012001","Median household income in 1999!!Total"
"HCT012002","Median household income in 1999!!Owner occupied"
"HCT012003","Median household income in 1999!!Renter occupied"
