06,001,401000,06001401000
06,001,401900,06001401900
06,001,402000,06001402000
06,001,402100,06001402100
06,001,402300,06001402300
06,001,403200,06001403200
06,001,403500,06001403500
06,001,403700,06001403700
06,001,404100,06001404100
06,001,405300,06001405300
06,001,405400,06001405400
06,001,405900,06001405900
06,001,406600,06001406600
06,001,407100,06001407100
06,001,409300,06001409300
06,001,425100,06001425100
06,001,427400,06001427400
06,001,427500,06001427500
06,001,430100,06001430100
06,001,432500,06001432500
06,001,433101,06001433101
06,001,435101,06001435101
06,001,435600,06001435600
06,001,437100,06001437100
06,001,437700,06001437700
06,001,438202,06001438202
06,001,440302,06001440302
06,001,440309,06001440309
06,001,441503,06001441503
06,001,441901,06001441901
06,001,441922,06001441922
06,001,442300,06001442300
06,001,442600,06001442600
06,001,443101,06001443101
06,001,443302,06001443302
06,001,444300,06001444300
06,001,444600,06001444600
06,001,450100,06001450100
06,001,450500,06001450500
06,001,450703,06001450703
06,001,450721,06001450721
06,001,450722,06001450722
06,001,451402,06001451402
06,001,451502,06001451502
06,001,451702,06001451702
06,005,000100,06005000100
06,005,000302,06005000302
06,007,000101,06007000101
06,007,000400,06007000400
06,007,000900,06007000900
06,007,001701,06007001701
06,007,002600,06007002600
06,007,002900,06007002900
06,007,003000,06007003000
06,007,003500,06007003500
06,009,000110,06009000110
06,009,000500,06009000500
06,013,302002,06013302002
06,013,302003,06013302003
06,013,302004,06013302004
06,013,303100,06013303100
06,013,303200,06013303200
06,013,304000,06013304000
06,013,306001,06013306001
06,013,313201,06013313201
06,013,313202,06013313202
06,013,320002,06013320002
06,013,324000,06013324000
06,013,333100,06013333100
06,013,334003,06013334003
06,013,334005,06013334005
06,013,336200,06013336200
06,013,338100,06013338100
06,013,338202,06013338202
06,013,339000,06013339000
06,013,342000,06013342000
06,013,344000,06013344000
06,013,345107,06013345107
06,013,345109,06013345109
06,013,345110,06013345110
06,013,345201,06013345201
06,013,346202,06013346202
06,013,351100,06013351100
06,013,355101,06013355101
06,013,355104,06013355104
06,013,355106,06013355106
06,013,355303,06013355303
06,013,355305,06013355305
06,013,356002,06013356002
06,013,359101,06013359101
06,013,360100,06013360100
06,013,364001,06013364001
06,013,365001,06013365001
06,013,368000,06013368000
06,015,000103,06015000103
06,017,030101,06017030101
06,017,030102,06017030102
06,017,030300,06017030300
06,017,030501,06017030501
06,017,030503,06017030503
06,017,030702,06017030702
06,017,030703,06017030703
06,017,030805,06017030805
06,017,030806,06017030806
06,017,031403,06017031403
06,019,000500,06019000500
06,019,000900,06019000900
06,019,001302,06019001302
06,019,001403,06019001403
06,019,001404,06019001404
06,019,001405,06019001405
06,019,001406,06019001406
06,019,002901,06019002901
06,019,002902,06019002902
06,019,003002,06019003002
06,019,003101,06019003101
06,019,003300,06019003300
06,019,003700,06019003700
06,019,003801,06019003801
06,019,003806,06019003806
06,019,004000,06019004000
06,019,004206,06019004206
06,019,004209,06019004209
06,019,004407,06019004407
06,019,004800,06019004800
06,019,004900,06019004900
06,019,005201,06019005201
06,019,005404,06019005404
06,019,005506,06019005506
06,019,005511,06019005511
06,019,005604,06019005604
06,019,005803,06019005803
06,019,005902,06019005902
06,019,005903,06019005903
06,019,006200,06019006200
06,019,006401,06019006401
06,019,006500,06019006500
06,019,006601,06019006601
06,019,006801,06019006801
06,019,007800,06019007800
06,019,007900,06019007900
06,019,008402,06019008402
06,023,001100,06023001100
06,023,010101,06023010101
06,023,010900,06023010900
06,023,011300,06023011300
06,025,010100,06025010100
06,025,012000,06025012000
06,025,012500,06025012500
06,027,000600,06027000600
06,027,000700,06027000700
06,029,003201,06029003201
06,029,003302,06029003302
06,029,004602,06029004602
06,029,004700,06029004700
