GEOID,Median_Rent
1400000US06019008100,819
1400000US06019008200,777
1400000US06019008301,913
1400000US06019008303,809
1400000US06019008304,647
1400000US06019008402,581
1400000US06019008403,-
1400000US06019008404,660
1400000US06019008405,641
1400000US06019008501,807
1400000US06019008503,877
1400000US06019008504,914
1400000US06019008600,835
1400000US06021010101,930
1400000US06021010102,912
1400000US06021010200,839
1400000US06021010300,685
1400000US06021010401,911
1400000US06021010402,776
1400000US06021010501,738
1400000US06021010502,902
1400000US06023000100,908
1400000US06023000200,1014
1400000US06023000300,1115
1400000US06023000400,1147
1400000US06023000500,852
1400000US06023000600,1237
1400000US06023000700,1313
1400000US06023000800,1371
1400000US06023000900,1331
1400000US06023001001,1135
1400000US06023001002,934
1400000US06023001102,1020
1400000US06023001103,1527
1400000US06023001200,949
1400000US06023001300,1166
1400000US06023010102,-
1400000US06023010200,1263
1400000US06023010300,1132
1400000US06023010400,1096
1400000US06023010502,917
1400000US06023010503,940
1400000US06023010504,982
1400000US06023010600,1321
1400000US06023010701,1201
1400000US06023010702,1197
1400000US06023010800,884
1400000US06023010901,856
1400000US06023010902,936
1400000US06023011000,1136
1400000US06023011100,932
1400000US06023011200,1081
1400000US06023011501,-
1400000US06023011502,1348
1400000US06023011600,968
1400000US06023940000,564
1400000US06023990100,-
1400000US06025010101,286
1400000US06025010102,679
1400000US06025010200,766
1400000US06025010300,850
1400000US06025010401,597
1400000US06025010402,928
1400000US06025010500,784
1400000US06025010600,876
1400000US06025010700,849
1400000US06025010800,919
1400000US06025010900,601
1400000US06025011001,1739
1400000US06025011002,960
1400000US06025011100,778
1400000US06025011201,1174
1400000US06025011202,765
1400000US06025011301,888
1400000US06025011302,785
1400000US06025011303,839
1400000US06025011400,783
1400000US06025011500,687
1400000US06025011600,839
1400000US06025011700,944
1400000US06025011801,1361
1400000US06025011802,859
1400000US06025011803,1833
1400000US06025011901,774
1400000US06025011902,708
1400000US06025011903,1427
1400000US06025012001,887
1400000US06025012003,1271
1400000US06025012004,948
1400000US06025012101,741
1400000US06025012102,782
1400000US06025012201,1089
1400000US06025012202,1149
1400000US06025012301,1071
1400000US06025012302,901
1400000US06025012400,1103
1400000US06025940000,558
1400000US06027000100,875
1400000US06027000200,1234
1400000US06027000300,2021
1400000US06027000400,953
1400000US06027000500,832
1400000US06027000800,732
1400000US06029000102,1081
1400000US06029000103,1115
1400000US06029000104,1123
1400000US06029000105,1110
1400000US06029000106,1147
1400000US06029000201,1116
1400000US06029000202,795
1400000US06029000300,966
1400000US06029000400,791
1400000US06029000504,814
1400000US06029000505,1811
1400000US06029000506,1415
1400000US06029000507,1324
1400000US06029000508,-
1400000US06029000509,-
1400000US06029000510,-
1400000US06029000601,869
1400000US06029000602,903
1400000US06029000603,782
1400000US06029000701,1169
1400000US06029000702,1348
1400000US06029000800,1315
1400000US06029000902,1125
1400000US06029000903,870
1400000US06029000904,995
1400000US06029000905,835
1400000US06029000906,1273
1400000US06029000907,1268
1400000US06029000908,1172
1400000US06029000909,1723
1400000US06029000911,909
1400000US06029000912,1131
1400000US06029000913,-
1400000US06029000914,1236
1400000US06029001001,-
1400000US06029001002,1533
1400000US06029001003,1242
1400000US06029001101,882
1400000US06029001104,994
1400000US06029001105,958
1400000US06029001106,886
1400000US06029001107,881
1400000US06029001201,914
1400000US06029001202,796
1400000US06029001301,836
1400000US06029001302,818
1400000US06029001401,828
1400000US06029001402,772
1400000US06029001500,852
1400000US06029001600,714
1400000US06029001700,987
1400000US06029001801,977
1400000US06029001803,1227
1400000US06029001804,1315
1400000US06029001901,1157
1400000US06029001902,908
1400000US06029002001,958
1400000US06029002002,779
1400000US06029002100,1026
1400000US06029002201,929
1400000US06029002202,845
1400000US06029002302,909
1400000US06029002303,979
1400000US06029002304,1157
1400000US06029002305,1171
1400000US06029002401,930
1400000US06029002402,1381
1400000US06029002403,646
1400000US06029002501,780
1400000US06029002502,792
1400000US06029002503,817
1400000US06029002600,883
1400000US06029002701,1073
1400000US06029002702,1099
1400000US06029002804,1207
1400000US06029002806,1347
1400000US06029002807,1884
1400000US06029002811,2192
1400000US06029002813,954
1400000US06029002814,939
1400000US06029002815,911
1400000US06029002816,1098
1400000US06029002817,1087
1400000US06029002818,1208
1400000US06029002819,1271
1400000US06029002820,1816
1400000US06029002821,1474
1400000US06029002822,-
1400000US06029002823,1328
1400000US06029002824,923
1400000US06029002825,916
1400000US06029002901,1169
1400000US06029002902,864
1400000US06029003001,1029
1400000US06029003002,890
1400000US06029003103,990
1400000US06029003112,1039
1400000US06029003113,991
